🕘️更新时间,#genre#
2026-02-19 07:29:17,http://49.77.103.76:9009/rtp/239.49.8.129:6000

📺央视频道,#genre#
CCTV-1,http://49.77.103.76:9009/rtp/239.49.8.129:6000
CCTV-3,http://183.128.213.13:9999/udp/233.50.201.196:5140
CCTV-4,http://49.77.103.76:9009/rtp/239.49.8.131:6000
CCTV-5+,http://183.128.213.13:9999/udp/233.50.201.220:5140
CCTV-7,http://183.128.213.13:9999/udp/233.50.200.24:5140
CCTV-7,http://183.128.213.13:9999/udp/233.50.201.120:5140
CCTV-7,http://49.77.103.76:9009/rtp/239.49.8.132:6000
CCTV-9,http://183.128.213.13:9999/udp/233.50.201.121:5140
CCTV-10,http://183.128.213.13:9999/udp/233.50.201.122:5140
CCTV-10,http://49.77.103.76:9009/rtp/239.49.8.134:6000
CCTV-12,http://183.128.213.13:9999/udp/233.50.201.123:5140
CCTV-12,http://49.77.103.76:9009/rtp/239.49.8.135:6000
CCTV-14,http://183.128.213.13:9999/udp/233.50.200.20:5140
CCTV-16,http://183.128.213.13:9999/udp/233.50.200.112:5140

📡卫视频道,#genre#
广东卫视,http://183.128.213.13:9999/udp/233.50.201.102:5140
湖南卫视,http://49.77.103.76:9009/rtp/239.49.1.68:8000
北京卫视,http://183.128.213.13:9999/udp/233.50.201.107:5140
湖北卫视,http://183.128.213.13:9999/udp/233.50.201.114:5140
黑龙江卫视,http://183.128.213.13:9999/udp/233.50.201.115:5140
安徽卫视,http://183.128.213.13:9999/udp/233.50.201.113:5140
东南卫视,http://183.128.213.13:9999/udp/233.50.201.146:5140
江苏卫视,http://183.128.213.13:9999/udp/233.50.201.106:5140
江西卫视,http://183.128.213.13:9999/udp/233.50.201.145:5140
辽宁卫视,http://183.128.213.13:9999/udp/233.50.201.141:5140
山东卫视,http://183.128.213.13:9999/udp/233.50.201.105:5140
四川卫视,http://49.77.103.76:9009/rtp/239.49.1.66:8000
四川卫视,http://183.128.213.13:9999/udp/233.50.201.139:5140
深圳卫视,http://183.128.213.13:9999/udp/233.50.201.101:5140
天津卫视,http://183.128.213.13:9999/udp/233.50.200.104:5140
天津卫视,http://183.128.213.13:9999/udp/233.50.201.104:5140

☘️广东频道,#genre#
